,ppid,targetoccurence,targetnumber,trialn,CurrentAudio,RT,ResponseCategory,Target1,Target2,Target3
0,3,0.8,2,0,o,1.032684438012943,1,o,b,
1,3,0.8,2,0,b,-1,2,o,b,
2,3,0.8,2,0,b,0.7820288868141461,1,o,b,
3,3,0.8,2,0,b,0.5154194516461743,1,o,b,
4,3,0.8,2,0,h,-1,4,o,b,
5,3,0.8,2,0,b,0.5988032700436285,1,o,b,
6,3,0.8,2,0,o,1.2154144106861118,1,o,b,
7,3,0.8,2,0,o,0.7488952902038477,1,o,b,
8,3,0.8,2,0,o,-1,2,o,b,
9,3,0.8,2,0,b,1.2154750833192196,1,o,b,
10,3,0.8,2,0,b,1.1488855101376103,1,o,b,
11,3,0.8,2,0,b,0.9320040895165818,1,o,b,
12,3,0.8,2,0,o,0.9821628495732213,1,o,b,
14,3,0.2,3,1,m,-1,4,b,o,z
15,3,0.2,3,1,j,-1,4,b,o,z
16,3,0.2,3,1,t,-1,4,b,o,z
17,3,0.2,3,1,h,-1,4,b,o,z
18,3,0.2,3,1,a,-1,4,b,o,z
19,3,0.2,3,1,f,-1,4,b,o,z
20,3,0.2,3,1,h,-1,4,b,o,z
21,3,0.2,3,1,y,-1,4,b,o,z
22,3,0.2,3,1,f,-1,4,b,o,z
23,3,0.2,3,1,a,-1,4,b,o,z
24,3,0.2,3,1,m,-1,4,b,o,z
25,3,0.2,3,1,k,-1,4,b,o,z
26,3,0.2,3,1,a,-1,4,b,o,z
28,3,0.2,1,2,h,-1,4,b,,
29,3,0.2,1,2,b,0.6989119072608219,1,b,,
30,3,0.2,1,2,n,-1,4,b,,
31,3,0.2,1,2,k,-1,4,b,,
32,3,0.2,1,2,b,0.49880722432965285,1,b,,
33,3,0.2,1,2,t,-1,4,b,,
34,3,0.2,1,2,b,0.8321592726045566,1,b,,
35,3,0.2,1,2,s,-1,4,b,,
36,3,0.2,1,2,b,0.598958422946211,1,b,,
37,3,0.2,1,2,i,-1,4,b,,
38,3,0.2,1,2,b,0.4488757602567688,1,b,,
39,3,0.2,1,2,r,-1,4,b,,
40,3,0.2,1,2,k,-1,4,b,,
42,3,0.6,2,3,b,0.8997084393217847,1,b,z,
