"","X","ppid","targetoccurence","targetnumber","trialn","EoTScore1","TargetCount1","EoTScore2","TargetCount2","EoTScore3","TargetCount3"
"95",22,1,0.6,2,22,6,2,2,5,NA,NA
"96",23,1,0.4,3,23,2,1,5,1,3,2
"97",24,1,0.4,2,24,3,3,4,2,NA,NA
"98",25,1,0.8,1,25,9,8,NA,NA,NA,NA
"99",26,1,0.8,1,26,10,9,NA,NA,NA,NA
"100",27,1,0.4,2,27,7,6,2,2,NA,NA
"101",28,1,0.8,3,28,4,5,5,2,3,3
"102",29,1,0.6,2,29,4,3,3,2,NA,NA
"103",30,1,0.6,1,30,8,7,NA,NA,NA,NA
"104",31,1,0.2,1,31,6,3,NA,NA,NA,NA
"105",32,1,0.4,1,32,8,7,NA,NA,NA,NA
"106",33,1,0.2,3,33,5,2,3,0,4,2
"107",34,1,0.6,1,34,10,8,NA,NA,NA,NA
"108",35,1,0.2,2,35,0,0,2,2,NA,NA
