,ppid,targetoccurence,targetnumber,trialn,EoTScore1,TargetCount1,EoTScore2,TargetCount2,EoTScore3,TargetCount3
0,2,0.2,1,0,3.0,3,,,,
1,2,0.8,1,1,10.0,9,,,,
2,2,0.8,3,2,2.0,2,4.0,4,7.0,6
3,2,0.4,1,3,3.0,3,,,,
4,2,0.8,3,4,3.0,2,8.0,8,4.0,1
5,2,0.6,1,5,10.0,9,,,,
6,2,0.6,2,6,4.0,4,4.0,4,,
7,2,0.2,2,7,1.0,1,2.0,2,,
8,2,0.6,3,8,2.0,3,2.0,2,2.0,2
9,2,0.2,3,9,0.0,0,0.0,0,2.0,2
10,2,0.4,3,10,3.0,3,1.0,1,3.0,3
11,2,0.6,2,11,3.0,2,7.0,6,,
12,2,0.6,1,12,9.0,8,,,,
13,2,0.4,2,13,5.0,5,2.0,2,,
14,2,0.4,2,14,4.0,4,1.0,1,,
15,2,0.2,1,15,1.0,1,,,,
16,2,0.4,1,16,6.0,5,,,,
17,2,0.6,3,17,1.0,1,1.0,1,6.0,5
18,2,0.2,3,18,0.0,0,0.0,0,0.0,0
19,2,0.2,2,19,2.0,2,0.0,0,,
20,2,0.2,3,20,3.0,2,1.0,0,0.0,0
21,2,0.6,1,21,10,11,,,,
22,2,0.4,3,22,2.0,2,2.0,2,4.0,3
23,2,0.2,2,23,0.0,0,1.0,1,,
24,2,0.8,2,24,5.0,5,5.0,4,,
25,2,0.8,1,25,9.0,8,,,,
26,2,0.4,2,26,5.0,5,3.0,3,,
27,2,0.8,2,27,4.0,4,5.0,4,,
28,2,0.4,3,28,1.0,0,2.0,3,2.0,2
29,2,0.6,3,29,3.0,3,3.0,3,6.0,5
30,2,0.8,2,30,6.0,5,5.0,5,,
31,2,0.4,1,31,4.0,3,,,,
32,2,0.8,3,32,4.0,4,3.0,2,3.0,3
33,2,0.8,1,33,10,11,,,,
34,2,0.2,1,34,3.0,2,,,,
35,2,0.6,2,35,3.0,3,6.0,5,,
