,ppid,targetoccurence,targetnumber,trialn,EoTScore1,TargetCount1,EoTScore2,TargetCount2,EoTScore3,TargetCount3
0,3,0.8,2,0,5.0,5,7.0,7,,
1,3,0.2,3,1,0.0,0,0.0,0,0.0,0
2,3,0.2,1,2,5.0,5,,,,
3,3,0.6,2,3,5.0,4,2.0,2,,
4,3,0.2,1,4,3.0,3,,,,
5,3,0.2,3,5,1.0,1,1.0,1,0.0,0
6,3,0.2,3,6,0.0,0,1.0,1,1.0,1
7,3,0.8,2,7,6.0,6,7.0,6,,
8,3,0.6,1,8,6.0,5,,,,
9,3,0.4,2,9,1.0,1,2.0,2,,
10,3,0.6,2,10,3.0,3,4.0,3,,
11,3,0.2,1,11,3.0,3,,,,
12,3,0.8,3,12,1.0,1,5.0,5,5.0,5
13,3,0.4,2,13,1.0,1,5.0,3,,
14,3,0.4,1,14,3.0,2,,,,
15,3,0.6,3,15,1.0,1,3.0,3,0.0,0
16,3,0.6,2,16,6.0,6,4.0,3,,
17,3,0.2,2,17,1.0,1,0.0,0,,
18,3,0.2,2,18,2.0,2,2.0,2,,
19,3,0.6,1,19,6.0,6,,,,
20,3,0.4,2,20,2.0,2,2.0,2,,
21,3,0.4,1,21,5.0,4,,,,
22,3,0.8,3,22,6.0,5,0.0,0,7.0,8
23,3,0.8,1,23,10,11,,,,
24,3,0.6,1,24,7.0,6,,,,
25,3,0.4,3,25,1.0,1,1.0,1,3.0,3
26,3,0.6,3,26,1.0,0,3.0,3,5.0,5
27,3,0.8,2,27,2.0,2,10,9,,
28,3,0.8,1,28,10,10,,,,
29,3,0.8,3,29,2.0,2,3.0,3,6.0,6
30,3,0.4,1,30,6.0,5,,,,
31,3,0.6,3,31,2.0,2,4.0,3,1.0,1
32,3,0.4,3,32,0.0,0,2.0,2,4.0,4
33,3,0.2,2,33,0.0,0,0.0,0,,
34,3,0.4,3,34,3.0,3,2.0,2,1.0,1
35,3,0.8,1,35,10,10,,,,
