,ppid,targetoccurence,targetnumber,trialn,CurrentAudio,RT,ResponseCategory,Target1,Target2,Target3
0,2,0.2,1,0,o,0.6496967424833073,1,o,,
1,2,0.2,1,0,t,-1,4,o,,
2,2,0.2,1,0,f,-1,4,o,,
3,2,0.2,1,0,h,-1,4,o,,
4,2,0.2,1,0,t,-1,4,o,,
5,2,0.2,1,0,o,0.6821816550709485,1,o,,
6,2,0.2,1,0,i,-1,4,o,,
7,2,0.2,1,0,n,-1,4,o,,
8,2,0.2,1,0,r,-1,4,o,,
9,2,0.2,1,0,h,-1,4,o,,
10,2,0.2,1,0,r,-1,4,o,,
11,2,0.2,1,0,o,0.6155929874510306,1,o,,
13,2,0.8,1,1,z,0.8331055845687558,1,z,,
14,2,0.8,1,1,z,0.7822021509504964,1,z,,
15,2,0.8,1,1,z,0.7488092618434621,1,z,,
16,2,0.8,1,1,z,0.7987621575429813,1,z,,
17,2,0.8,1,1,i,-1,4,z,,
18,2,0.8,1,1,z,0.7154480673955277,1,z,,
19,2,0.8,1,1,z,0.598907107783873,1,z,,
20,2,0.8,1,1,z,0.8487379941386024,1,z,,
21,2,0.8,1,1,z,0.8154438112555766,1,z,,
22,2,0.8,1,1,r,-1,4,z,,
23,2,0.8,1,1,z,0.7154067134117525,1,z,,
24,2,0.8,1,1,r,-1,4,z,,
25,2,0.8,1,1,i,-1,4,z,,
27,2,0.8,3,2,o,0.7498850691290642,1,o,z,b
28,2,0.8,3,2,b,1.14871405712465,1,o,z,b
29,2,0.8,3,2,o,-1,2,o,z,b
30,2,0.8,3,2,b,0.11546424676436118,1,o,z,b
31,2,0.8,3,2,b,0.7988270561306337,1,o,z,b
32,2,0.8,3,2,b,0.6988681384458886,1,o,z,b
33,2,0.8,3,2,b,0.6487033413113323,1,o,z,b
34,2,0.8,3,2,i,-1,4,o,z,b
35,2,0.8,3,2,z,-1,2,o,z,b
36,2,0.8,3,2,z,0.9655107775424341,1,o,z,b
37,2,0.8,3,2,b,-1,2,o,z,b
38,2,0.8,3,2,z,1.398732998456623,1,o,z,b
39,2,0.8,3,2,z,-1,2,o,z,b
41,2,0.4,1,3,i,-1,4,o,,
42,2,0.4,1,3,o,0.49877371854719854,1,o,,
43,2,0.4,1,3,f,-1,4,o,,
