-2.870530035725566975e-01,2.000000000000000000e+00,7.000000000000000000e+00,nan
1.033390812861201269e-01,1.000000000000000000e+00,8.000000000000000000e+00,nan
-7.233735690028435528e-01,2.000000000000000000e+00,6.000000000000000000e+00,5.933333333333505877e+00
-4.248384452873841255e-01,1.000000000000000000e+00,7.500000000000000000e+00,nan
-1.263033215719255864e-01,3.000000000000000000e+00,5.500000000000000000e+00,nan
-1.951960424293384122e-01,0.000000000000000000e+00,6.500000000000000000e+00,nan
1.435265017862783488e+00,2.000000000000000000e+00,8.500000000000000000e+00,nan
-1.044872933004106663e+00,1.000000000000000000e+00,6.250000000000000000e+00,4.916666666666801078e+00
1.263033215719246982e-01,2.000000000000000000e+00,8.250000000000000000e+00,nan
-1.263033215719255864e-01,0.000000000000000000e+00,7.250000000000000000e+00,nan
-3.329814841441658402e-01,2.000000000000000000e+00,5.250000000000000000e+00,8.733333333333607840e+00
4.478026855731886968e-01,1.000000000000000000e+00,8.750000000000000000e+00,nan
-1.492675618577301577e-01,2.000000000000000000e+00,6.750000000000000000e+00,nan
-2.411245230009475549e-01,1.000000000000000000e+00,5.750000000000000000e+00,nan
-2.996833357297492562e+00,3.000000000000000000e+00,7.750000000000000000e+00,2.933333333333443704e+00
1.894549823578874026e+00,1.000000000000000000e+00,8.375000000000000000e+00,3.525000000000170886e+00
-2.181602827151429835e-01,3.000000000000000000e+00,6.375000000000000000e+00,nan
-1.263033215719255864e-01,1.000000000000000000e+00,5.375000000000000000e+00,nan
-4.707669258589932682e-01,2.000000000000000000e+00,7.375000000000000000e+00,7.358333333333645143e+00
-3.100172438583612688e-01,0.000000000000000000e+00,6.875000000000000000e+00,nan
8.037484100031555556e-02,2.000000000000000000e+00,8.875000000000000000e+00,nan
1.033390812861201269e-01,1.000000000000000000e+00,7.875000000000000000e+00,nan
-8.611590107176700926e-01,3.000000000000000000e+00,5.875000000000000000e+00,5.325000000000136069e+00
-1.297479576147956948e+00,0.000000000000000000e+00,7.125000000000000000e+00,4.441666666666820973e+00
