"","ppid","trialn","TruePos","FalseNeg","FalsePos","TrueNeg","TotalResponses","Perc_Correct","meanRT","stdRT"
"1",1,0,1,0,1,11,13,0.923076923076923,0.916430541456464,NA
"2",1,1,7,2,0,4,13,0.846153846153846,0.976862769500009,0.119250216931672
"3",1,2,8,2,2,1,13,0.692307692307692,0.90106025426361,0.266338851054649
"4",1,3,9,2,1,2,14,0.785714285714286,0.880313521555337,0.213348623816942
"5",1,4,0,0,0,13,13,1,NA,NA
"6",1,5,4,0,0,9,13,1,1.00718110418759,0.267531675639484
"7",1,6,4,1,0,8,13,0.923076923076923,0.852002694951587,0.188358765275308
"8",1,7,6,2,1,4,13,0.769230769230769,0.990657420680596,0.187681425787236
"9",1,8,6,2,1,5,14,0.785714285714286,0.904553345280713,0.146522907974354
"10",1,9,5,2,2,4,13,0.692307692307692,0.848853724922367,0.0950472538351932
"11",1,10,4,1,1,7,13,0.846153846153846,0.961520797280642,0.276792583594548
"12",1,11,9,2,1,0,12,0.75,0.859369523133561,0.140034059536698
"13",1,12,2,0,1,10,13,0.923076923076923,0.907144610051546,0.247456776370306
"14",1,13,4,0,0,9,13,1,0.803021089626185,0.264714468749945
"15",1,14,7,0,0,7,14,1,0.685256683832246,0.108233119599364
"16",1,15,8,3,0,1,12,0.75,0.758534843448011,0.197408346321841
"17",1,16,7,2,0,4,13,0.846153846153846,0.908382512879362,0.20765198940283
"18",1,17,2,0,0,12,14,1,0.840462518650725,0.176761700930337
"19",1,18,4,1,0,9,14,0.928571428571429,0.848845755979482,0.198690728066431
"20",1,19,11,0,0,2,13,1,0.636275302937148,0.260422917431594
"21",1,20,12,0,0,0,12,1,0.625655010377206,0.18520098627391
"22",1,21,7,1,2,3,13,0.769230769230769,0.747151652734195,0.0922387575482083
"23",1,22,7,0,0,5,12,1,0.898970708399751,0.22499692027504
"24",1,23,3,1,4,5,13,0.615384615384615,0.899215310673602,0.26248089834649
"25",1,24,5,0,0,8,13,1,0.889038568174169,0.333927503824297
"26",1,25,8,0,0,4,12,1,0.736386313823616,0.119575585922875
"27",1,26,9,0,0,4,13,1,0.545142669399335,0.0959158603705024
