,ppid,radius,yawrate_offset,trialn,timestamp,trialtype_signed,World_x,World_z,WorldYaw,SWA,YawRate_seconds,TurnAngle_frames,Distance_frames,dt
1,1,40,0,1,21.852370720881712,0,0.0,0.13296417891979218,359.81850388646126,-0.31200000643730164,-10.920000225305557,-0.18149611341762376,0.13296418291056966,0.016620522863821208
2,1,40,0,1,21.8690796877113,0,-0.0004239138215780258,0.2667873799800873,359.6358343064785,-0.31200000643730164,-10.920000225305557,-0.18266958677221598,0.13382387033209397,0.016727983791511747
3,1,40,0,1,21.885667610068968,0,-0.0012674330500885844,0.39950016140937805,359.4546777009964,-0.31200000643730164,-10.920000225305557,-0.18115659725044753,0.13271545312289845,0.016589431640362307
4,1,40,0,1,21.902314696308174,0,-0.002534945495426655,0.532670795917511,359.2728914618492,-0.31200000643730164,-10.920000225305557,-0.18178618548281866,0.13317668991365395,0.016647086239206743
5,1,40,0,1,21.9191456131793,0,-0.004243357572704554,0.6672855615615845,359.08912748098373,-0.31200000643730164,-10.920000225305557,-0.18376394956354503,0.134625601298211,0.016828200162276374
6,1,40,0,1,21.93576402304735,0,-0.006353603210300207,0.8000132441520691,358.9079314470291,-0.31200000643730164,-10.920000225305557,-0.18119615253204033,0.13274443135057368,0.01659305391882171
7,1,40,0,1,21.95235134169194,0,-0.00888662226498127,0.932892918586731,358.72651767730713,-0.31200000643730164,-10.920000225305557,-0.18141370658093653,0.1329038116028869,0.01661297645036086
8,1,40,0,1,21.96899782421807,0,-0.011847122572362423,1.0660680532455444,358.54468870162964,-0.31200000643730164,-10.920000225305557,-0.1818290370378743,0.13320808299363307,0.016651010374204134
9,1,40,0,1,21.98563857146997,0,-0.015228216536343098,1.1991535425186157,358.3629684448242,-0.31200000643730164,-10.920000225305557,-0.1817202600134844,0.1331283928675191,0.016641049108439887
10,1,40,0,1,22.002301052392635,0,-0.01903587393462658,1.332384467124939,358.1810337305069,-0.31200000643730164,-10.920000225305557,-0.18193451778884018,0.13328535826747157,0.016660669783433946
11,1,40,0,1,22.019005793230686,0,-0.023278294131159782,1.4659719467163086,357.99859499931335,-0.31200000643730164,-10.920000225305557,-0.18243884762946846,0.13365483067056516,0.016706853833820645
12,1,40,0,1,22.035595828584125,0,-0.027913164347410202,1.5986039638519287,357.81744170188904,-0.31200000643730164,-10.920000225305557,-0.1811533009769459,0.13271303827056613,0.016589129783820766
13,1,40,0,1,22.052364261151787,0,-0.033021342009305954,1.7326371669769287,357.63435339927673,-0.31200000643730164,-10.920000225305557,-0.18308821350265542,0.13413055657517248,0.01676631957189656
14,1,40,0,1,22.069116091609835,0,-0.03855280950665474,1.866532802581787,357.4514298439026,-0.31200000643730164,-10.920000225305557,-0.18292339982924213,0.1340098139597785,0.016751226744972314
15,1,40,0,1,22.085688921140584,0,-0.044447943568229675,1.9989770650863647,357.2704644203186,-0.31200000643730164,-10.920000225305557,-0.1809654133892928,0.13257539168904486,0.016571923961130608
16,1,40,0,1,22.10234928906748,0,-0.05079425498843193,2.132091999053955,357.08855628967285,-0.31200000643730164,-10.920000225305557,-0.18190814760109872,0.13326603944901194,0.016658254931126493
17,1,40,0,1,22.119033805517454,0,-0.057575177401304245,2.2654223442077637,356.9063251018524,-0.31200000643730164,-10.920000225305557,-0.18223118240099956,0.13350269497519207,0.01668783687189901
18,1,40,0,1,22.13569266416166,0,-0.06476761400699615,2.398499011993408,356.72441053390503,-0.31200000643730164,-10.920000225305557,-0.18191474014806316,0.13327086915364816,0.01665885864420602
19,1,40,0,1,22.152436042636634,0,-0.07242117077112198,2.5322272777557373,356.54157304763794,-0.31200000643730164,-10.920000225305557,-0.18283769671905328,0.13394702779976342,0.016743378474970427
20,1,40,0,1,22.16906562119661,0,-0.08044636249542236,2.6650192737579346,356.35998129844666,-0.31200000643730164,-10.920000225305557,-0.18159170534820113,0.13303421362749646,0.016629276703437057
21,1,40,0,1,22.18568221992543,0,-0.08888640254735947,2.7976911067962646,356.17735505104065,-0.3140000104904175,-10.990000367164612,-0.18262637834119072,0.13294003438750224,0.01661750429843778
22,1,40,0,1,22.20236794380156,0,-0.09778566658496857,2.930879831314087,355.992226600647,-0.31700000166893005,-11.095000058412552,-0.18512810738027358,0.13348579100900793,0.01668572387612599
23,1,40,0,1,22.219098342445378,0,-0.10714037716388702,3.0643980503082275,355.8048424720764,-0.3199999928474426,-11.199999749660492,-0.18738384141564515,0.1338456040028575,0.016730700500357187
24,1,40,0,1,22.235759615941888,0,-0.1168917790055275,3.197340726852417,355.61589002609253,-0.3240000009536743,-11.340000033378601,-0.1889525342192365,0.1332998473813518,0.016662480922668976
25,1,40,0,1,22.252364140409174,0,-0.1270453780889511,3.3297786712646484,355.42586517333984,-0.3269999921321869,-11.444999724626541,-0.19002495896359137,0.13282653632901997,0.016603317041127497
26,1,40,0,1,22.269221318799143,0,-0.1377960741519928,3.464156150817871,355.23064851760864,-0.3310000002384186,-11.58500000834465,-0.19521697462048282,0.13480671522131615,0.01685083940266452
27,1,40,0,1,22.28566646301412,0,-0.14873771369457245,3.5952978134155273,355.03892755508423,-0.3330000042915344,-11.655000150203705,-0.19172093036573526,0.1315973765044589,0.016449672063057363
28,1,40,0,1,22.302407728493325,0,-0.1603129506111145,3.728646755218506,354.8427529335022,-0.33500000834465027,-11.72500029206276,-0.1961745467890947,0.1338504337074653,0.016731304213433162
29,1,40,0,1,22.31923079709445,0,-0.17240090668201447,3.8625781536102295,354.64566230773926,-0.33500000834465027,-11.72500029206276,-0.1970912172014918,0.1344758804551418,0.016809485056892726
